Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,WeekStatus,Day_of_week,Load_Type,month,day,hour
3.17,2.95,0.0,0.0,73.21,100.0,0,1,0,1,1,0
4.0,4.46,0.0,0.0,66.77,100.0,0,1,0,1,1,0
3.24,3.28,0.0,0.0,70.28,100.0,0,1,0,1,1,0
3.31,3.56,0.0,0.0,68.09,100.0,0,1,0,1,1,1
3.82,4.5,0.0,0.0,64.72,100.0,0,1,0,1,1,1
3.28,3.56,0.0,0.0,67.76,100.0,0,1,0,1,1,1
3.6,4.14,0.0,0.0,65.62,100.0,0,1,0,1,1,1
3.6,4.28,0.0,0.0,64.37,100.0,0,1,0,1,1,2
3.28,3.64,0.0,0.0,66.94,100.0,0,1,0,1,1,2
3.78,4.72,0.0,0.0,62.51,100.0,0,1,0,1,1,2
3.46,4.03,0.0,0.0,65.14,100.0,0,1,0,1,1,2
3.24,3.64,0.0,0.0,66.49,100.0,0,1,0,1,1,3
3.96,4.97,0.0,0.0,62.32,100.0,0,1,0,1,1,3
3.31,3.74,0.0,0.0,66.27,100.0,0,1,0,1,1,3
3.31,3.85,0.0,0.0,65.19,100.0,0,1,0,1,1,3
3.89,5.0,0.0,0.0,61.4,100.0,0,1,0,1,1,4
3.28,3.82,0.0,0.0,65.14,100.0,0,1,0,1,1,4
3.56,4.28,0.0,0.0,63.95,100.0,0,1,0,1,1,4
3.74,4.54,0.0,0.0,63.58,100.0,0,1,0,1,1,4
3.31,3.6,0.0,0.0,67.68,100.0,0,1,0,1,1,5
3.56,4.07,0.0,0.0,65.84,100.0,0,1,0,1,1,5
3.56,4.1,0.0,0.0,65.56,100.0,0,1,0,1,1,5
3.28,3.49,0.0,0.0,68.48,100.0,0,1,0,1,1,5
3.78,4.32,0.0,0.0,65.85,100.0,0,1,0,1,1,6
3.35,3.64,0.0,0.0,67.72,100.0,0,1,0,1,1,6
3.24,3.35,0.0,0.0,69.52,100.0,0,1,0,1,1,6
3.89,4.46,0.0,0.0,65.73,100.0,0,1,0,1,1,6
3.31,3.53,0.0,0.0,68.4,100.0,0,1,0,1,1,7
3.28,3.49,0.0,0.0,68.48,100.0,0,1,0,1,1,7
3.85,4.75,0.0,0.0,62.97,100.0,0,1,0,1,1,7
3.2,3.6,0.0,0.0,66.44,100.0,0,1,0,1,1,7
3.31,3.78,0.0,0.0,65.88,100.0,0,1,0,1,1,8
3.78,4.75,0.0,0.0,62.27,100.0,0,1,0,1,1,8
3.28,3.74,0.0,0.0,65.94,100.0,0,1,0,1,1,8
3.49,4.46,0.18,0.0,61.63,99.87,0,1,0,1,1,8
3.89,0.0,15.66,0.0,100.0,24.11,0,1,0,1,1,9
3.6,0.0,16.96,0.0,100.0,20.76,0,1,0,1,1,9
4.03,0.0,21.28,0.0,100.0,18.61,0,1,0,1,1,9
3.92,0.0,19.22,0.0,100.0,19.98,0,1,0,1,1,9
3.64,0.0,16.88,0.0,100.0,21.08,0,1,0,1,1,10
4.07,0.0,22.32,0.0,100.0,17.94,0,1,0,1,1,10
3.71,0.0,18.0,0.0,100.0,20.19,0,1,0,1,1,10
3.6,0.0,16.92,0.0,100.0,20.81,0,1,0,1,1,10
4.21,0.0,23.4,0.0,100.0,17.71,0,1,0,1,1,11
3.49,0.0,5.65,0.0,100.0,52.55,0,1,0,1,1,11
3.46,0.0,4.82,0.0,100.0,58.31,0,1,0,1,1,11
4.0,0.0,6.7,0.0,100.0,51.26,0,1,0,1,1,11
3.49,0.0,4.57,0.0,100.0,60.69,0,1,0,1,1,12
3.6,0.0,12.89,0.0,100.0,26.9,0,1,0,1,1,12
4.25,0.0,23.15,0.0,100.0,18.06,0,1,0,1,1,12
3.67,0.0,16.67,0.0,100.0,21.5,0,1,0,1,1,12
3.67,0.0,16.63,0.0,100.0,21.55,0,1,0,1,1,13
4.25,0.0,23.33,0.0,100.0,17.92,0,1,0,1,1,13
3.64,0.0,16.74,0.0,100.0,21.25,0,1,0,1,1,13
3.67,0.0,16.99,0.0,100.0,21.11,0,1,0,1,1,13
4.28,0.0,23.4,0.0,100.0,17.99,0,1,0,1,1,14
3.64,0.0,16.67,0.0,100.0,21.33,0,1,0,1,1,14
3.78,0.0,18.25,0.0,100.0,20.28,0,1,0,1,1,14
4.1,0.0,22.1,0.0,100.0,18.24,0,1,0,1,1,14
3.64,0.0,16.7,0.0,100.0,21.3,0,1,0,1,1,15
3.92,0.0,19.33,0.0,100.0,19.87,0,1,0,1,1,15
4.1,0.0,21.35,0.0,100.0,18.86,0,1,0,1,1,15
3.6,0.0,16.81,0.0,100.0,20.94,0,1,0,1,1,15
3.96,0.0,20.45,0.0,100.0,19.01,0,1,0,1,1,16
4.0,0.0,20.77,0.0,100.0,18.91,0,1,0,1,1,16
3.6,0.0,16.81,0.0,100.0,20.94,0,1,0,1,1,16
4.07,0.0,21.64,0.0,100.0,18.48,0,1,0,1,1,16
3.82,0.0,19.19,0.0,100.0,19.52,0,1,0,1,1,17
3.56,0.0,16.96,0.0,100.0,20.54,0,1,0,1,1,17
4.1,0.0,23.51,0.0,100.0,17.18,0,1,0,1,1,17
3.6,0.0,17.39,0.0,100.0,20.27,0,1,0,1,1,17
3.6,0.0,17.35,0.0,100.0,20.32,0,1,0,1,1,18
4.0,0.0,8.96,0.0,100.0,40.77,0,1,0,1,1,18
3.42,0.0,5.47,0.0,100.0,53.01,0,1,0,1,1,18
3.67,0.0,16.24,0.0,100.0,22.04,0,1,0,1,1,18
4.07,0.0,22.57,0.0,100.0,17.75,0,1,0,1,1,19
3.53,0.0,17.39,0.0,100.0,19.89,0,1,0,1,1,19
3.85,0.0,20.74,0.0,100.0,18.25,0,1,0,1,1,19
3.96,0.0,20.88,0.0,100.0,18.63,0,1,0,1,1,19
3.56,0.0,17.35,0.0,100.0,20.1,0,1,0,1,1,20
4.03,0.0,22.54,0.0,100.0,17.6,0,1,0,1,1,20
3.74,0.0,19.55,0.0,100.0,18.79,0,1,0,1,1,20
3.56,0.0,17.42,0.0,100.0,20.02,0,1,0,1,1,20
4.21,0.0,24.26,0.0,100.0,17.1,0,1,0,1,1,21
3.56,0.0,17.75,0.0,100.0,19.66,0,1,0,1,1,21
3.53,0.0,17.42,0.0,100.0,19.86,0,1,0,1,1,21
4.25,0.0,25.2,0.0,100.0,16.63,0,1,0,1,1,21
3.53,0.0,17.5,0.0,100.0,19.77,0,1,0,1,1,22
3.56,1.44,10.08,0.0,92.7,33.3,0,1,0,1,1,22
3.67,4.21,0.0,0.0,65.71,100.0,0,1,0,1,1,22
3.24,3.35,0.0,0.0,69.52,100.0,0,1,0,1,1,22
3.53,3.74,0.0,0.0,68.64,100.0,0,1,0,1,1,23
3.53,3.42,0.0,0.0,71.82,100.0,0,1,0,1,1,23
3.24,2.95,0.0,0.0,73.94,100.0,0,1,0,1,1,23
3.67,3.96,0.0,0.0,67.97,100.0,0,1,0,1,1,23
3.42,3.46,0.0,0.0,70.3,100.0,0,1,0,1,1,0
