Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,WeekStatus,Day_of_week,Load_Type,month,day,hour,Usage_kWh_rolling_avg_3hr,Usage_kWh_lag_1hr
4.0,4.46,0.0,0.0,66.77,100.0,0,1,0,1,1,0,3.585,3.17
3.24,3.28,0.0,0.0,70.28,100.0,0,1,0,1,1,0,3.47,4.0
3.42,3.46,0.0,0.0,70.3,100.0,0,1,0,1,1,0,3.5533333333333332,3.24
3.31,3.56,0.0,0.0,68.09,100.0,0,1,0,1,1,1,3.3233333333333337,3.42
3.82,4.5,0.0,0.0,64.72,100.0,0,1,0,1,1,1,3.516666666666667,3.31
3.28,3.56,0.0,0.0,67.76,100.0,0,1,0,1,1,1,3.47,3.82
3.6,4.14,0.0,0.0,65.62,100.0,0,1,0,1,1,1,3.5666666666666664,3.28
3.6,4.28,0.0,0.0,64.37,100.0,0,1,0,1,1,2,3.4933333333333336,3.6
3.28,3.64,0.0,0.0,66.94,100.0,0,1,0,1,1,2,3.4933333333333336,3.6
3.78,4.72,0.0,0.0,62.51,100.0,0,1,0,1,1,2,3.5533333333333332,3.28
3.46,4.03,0.0,0.0,65.14,100.0,0,1,0,1,1,2,3.5066666666666664,3.78
3.24,3.64,0.0,0.0,66.49,100.0,0,1,0,1,1,3,3.4933333333333336,3.46
3.96,4.97,0.0,0.0,62.32,100.0,0,1,0,1,1,3,3.5533333333333332,3.24
3.31,3.74,0.0,0.0,66.27,100.0,0,1,0,1,1,3,3.5033333333333334,3.96
3.31,3.85,0.0,0.0,65.19,100.0,0,1,0,1,1,3,3.526666666666667,3.31
3.89,5.0,0.0,0.0,61.4,100.0,0,1,0,1,1,4,3.503333333333334,3.31
3.28,3.82,0.0,0.0,65.14,100.0,0,1,0,1,1,4,3.4933333333333336,3.89
3.56,4.28,0.0,0.0,63.95,100.0,0,1,0,1,1,4,3.5766666666666667,3.28
3.74,4.54,0.0,0.0,63.58,100.0,0,1,0,1,1,4,3.526666666666667,3.56
3.31,3.6,0.0,0.0,67.68,100.0,0,1,0,1,1,5,3.536666666666667,3.74
3.56,4.07,0.0,0.0,65.84,100.0,0,1,0,1,1,5,3.5366666666666666,3.31
3.56,4.1,0.0,0.0,65.56,100.0,0,1,0,1,1,5,3.4766666666666666,3.56
